year,month,Transactions,Amount_Spent,Base_Points_Earned,Bonus_Points_Earned,Rewards_Points_Earned,Cash_Back_Points_Earned,Total_Points_Earned
2019,1,558124,6549775.76,1051947,1295683,1111924,1235706,2347630
2019,2,552655,6512179.09,1047542,3059494,2168384,1938652,4107036
2019,3,655421,7638377.43,1218723,1581300,1333345,1466678,2800023
2019,4,582423,6961714.61,1115824,1284349,1084828,1315345,2400173
2019,5,616041,7255974.88,1160644,1554436,1351375,1363705,2715080
2019,6,741361,8613134.14,1372672,3419933,2328788,2463817,4792605
2019,7,604202,7236043.74,1157267,1355245,1178114,1334398,2512512
2019,8,698480,8460685.37,1348725,1349843,1348725,1349843,2698568
2019,9,577068,6729956.24,1072332,1358973,1109293,1322012,2431305
2019,10,600222,6995224.12,1118590,2212989,1627087,1704492,3331579
2019,11,663448,7645328.25,1220262,2105601,1595518,1730345,3325863
2019,12,638959,7730069.94,1255743,3307977,2213390,2350330,4563720
2020,1,550129,6627210.31,1065755,1177203,1059469,1183489,2242958
2020,2,643446,7515547.71,1204667,2993328,2254784,1943211,4197995
2020,3,618951,8851007.3,1481434,982039,1190888,1272585,2463473
2020,4,442144,8139465.18,1427616,850713,1069400,1208929,2278329
2020,5,568679,9383713.46,1611825,1341568,1341371,1612022,2953393
2020,6,542731,8248123.39,1398352,1805033,1514895,1688490,3203385
2020,7,564764,8173648.26,1376759,1281395,1241933,1416221,2658154
2020,8,662334,9020033.37,1505380,2076820,1654085,1928115,3582200
2020,9,543663,7469129.39,1242543,1234726,1157894,1319375,2477269
2020,10,660912,8778992.13,1457928,2900870,2086198,2272600,4358798
2020,11,543920,7409050.79,1236590,1576836,1234514,1578912,2813426
2020,12,607358,8628153.92,1460479,2499660,1591465,2368674,3960139
2021,1,591999,8719733.12,1474511,1567663,1397840,1644334,3042174
2021,2,516086,7383512.13,1245672,1969771,1563754,1651689,3215443
2021,3,538246,7536691.26,1262738,1806581,1363101,1706218,3069319
2021,4,547648,7825101.86,1322428,1716564,1352777,1686215,3038992
2021,5,782612,9707940.92,1583141,1938410,1551016,1970535,3521551
2021,6,549566,7894301.98,1322712,1298821,1158036,1463497,2621533
2021,7,620541,8589382.71,1432836,1831520,1407924,1856432,3264356
2021,8,540730,7215969.56,1197733,1578124,1241636,1534221,2775857
2021,9,515541,6957603.82,1155313,1537983,1175153,1518143,2693296
2021,10,590225,8185856.81,1356463,1472337,1253049,1575751,2828800
2021,11,494597,6794164.51,1129730,1456142,1130522,1455350,2585872
2021,12,562438,8035668.96,1354129,2987753,1930642,2411240,4341882
